node,cluster
1,1
2,2
3,3
4,2
5,3
6,4
7,4
8,5
9,6
10,7
11,8
12,6
13,3
14,9
15,2
16,4
17,5
18,1
19,5
20,1
21,8
22,5
23,7
24,1
25,3
26,7
27,6
28,5
29,6
30,3
31,2
32,2
33,1
34,5
35,7
36,1
37,3
38,1
39,3
40,7
41,3
42,5
43,1
44,5
45,4
46,1
47,3
48,8
49,2
50,5
51,8
52,2
53,4
54,3
55,5
56,5
57,2
58,1
59,5
60,1
61,5
62,1
63,3
64,4
65,4
66,2
67,9
68,3
69,5
70,4
71,2
72,3
73,3
74,7
75,8
76,7
77,1
78,8
79,4
80,4
81,3
82,7
83,5
84,1
85,2
86,3
87,5
88,8
89,6
90,3
91,8
92,5
93,2
94,9
95,8
96,8
97,7
98,4
99,5
100,3
101,2
102,8
103,7
104,8
105,1
106,4
107,2
108,8
109,3
110,8
111,8
112,8
113,9
114,1
115,3
116,2
117,4
118,4
119,8
120,8
121,5
122,3
123,5
124,3
125,3
126,8
127,4
128,6
129,3
130,1
131,7
132,4
133,5
134,2
135,7
136,1
137,7
138,3
139,4
140,3
141,5
142,9
143,3
144,4
145,3
146,3
147,2
148,8
149,5
150,4
151,4
152,4
153,2
154,3
155,1
156,1
157,2
158,5
159,8
160,5
161,7
162,5
163,3
164,4
165,7
166,2
167,9
168,5
169,7
170,1
171,2
172,7
173,4
174,2
175,3
176,2
177,4
178,4
179,1
180,1
181,9
182,8
183,4
184,3
185,1
186,6
187,2
188,6
189,1
190,9
191,6
192,9
193,2
194,1
195,7
196,3
197,5
198,9
199,4
200,5
201,8
202,1
203,4
204,1
205,4
206,1
207,1
208,3
209,7
210,3
211,5
212,8
213,4
214,9
215,9
216,1
217,2
218,9
219,1
220,3
221,8
222,2
223,2
224,7
225,9
226,1
227,1
228,9
229,8
230,6
231,4
232,6
233,3
234,5
235,2
236,2
237,1
238,3
239,2
240,5
241,5
242,9
243,1
244,5
245,5
246,1
247,8
248,3
249,3
250,1
251,4
252,3
253,2
254,4
255,7
256,6
257,6
258,1
259,4
260,2
261,8
262,3
263,3
264,6
265,8
266,6
267,2
268,6
269,2
270,7
271,2
272,8
273,9
274,1
275,3
276,8
277,5
278,5
279,1
280,8
281,9
282,2
283,3
284,1
285,2
286,2
287,3
288,5
289,7
290,2
291,7
292,8
293,6
294,2
295,4
296,1
297,8
298,5
299,2
300,4
301,5
302,3
303,4
304,8
305,2
306,2
307,4
308,1
309,3
310,9
311,2
312,8
313,9
314,3
315,4
316,5
317,5
318,4
319,5
320,4
321,4
322,3
323,1
324,1
325,5
326,4
327,2
328,5
329,3
330,5
331,7
332,2
333,3
334,7
335,3
336,5
337,8
338,2
339,3
340,9
341,3
342,2
343,3
344,7
345,7
346,9
347,2
348,4
349,4
350,8
351,6
352,3
353,3
354,7
355,3
356,1
357,2
358,3
359,2
360,1
361,7
362,9
363,3
364,9
365,1
366,5
367,2
368,4
369,2
370,2
371,8
372,8
373,5
374,4
375,3
376,3
377,2
378,2
379,1
380,8
381,2
382,5
383,3
384,8
385,5
386,1
387,9
388,5
389,8
390,5
391,3
392,5
393,6
394,8
395,2
396,3
397,3
398,5
399,4
400,2
401,4
402,7
403,4
404,7
405,4
406,2
407,5
408,3
409,7
410,9
411,2
412,3
413,4
414,8
415,7
416,3
417,3
418,3
419,1
420,5
421,6
422,3
423,3
424,3
425,8
426,1
427,3
428,5
429,6
430,7
431,9
432,3
433,3
434,9
435,3
436,1
437,5
438,9
439,8
440,2
441,2
442,4
443,8
444,3
445,3
446,8
447,4
448,3
449,4
450,5
451,6
452,9
453,9
454,7
455,1
456,5
457,3
458,3
459,2
460,2
461,5
462,1
463,9
464,2
465,3
466,1
467,1
468,1
469,6
470,7
471,8
472,9
473,5
474,7
475,2
476,7
477,3
478,5
479,5
480,1
481,2
482,2
483,8
484,8
485,1
486,1
487,4
488,9
489,5
490,8
491,9
492,7
493,6
494,2
495,3
496,4
497,9
498,4
499,1
500,6
501,8
502,6
503,3
504,4
505,7
506,6
507,4
508,3
509,8
510,4
511,8
512,2
513,1
514,2
515,3
516,3
517,2
518,3
519,7
520,2
521,2
522,4
523,7
524,3
525,6
526,5
527,2
528,1
529,5
530,1
531,5
532,1
