from,to,weight
149,28,0.10594644800405419
149,50,0.10590162597889463
149,211,0.12053457816344217
149,245,0.10915673267332773
149,288,0.10523462791609992
149,316,0.10485278250001569
149,330,0.11758067515595183
149,373,0.11435989739699584
149,382,0.12599124202206505
149,478,0.10455250671600408
150,26,0.11010857888300417
150,79,0.11941989326477531
150,151,0.13185001571366312
150,161,0.11216447041852838
150,177,0.08657677838210662
150,198,0.11963647815417412
150,205,0.11976610655840117
150,289,0.09198156993371093
150,302,0.09289379562295386
150,387,0.11816785072780613
150,413,0.11360826451781085
150,442,0.11813807426278425
150,447,0.09178235252697563
150,504,0.12684694197385157
268,26,0.07758492108003111
268,86,0.07958945146613071
268,166,0.07795049562439342
268,230,0.0796831742135126
268,263,0.07866966700279426
268,269,0.07866753337270958
268,291,0.07724223207469062
268,339,0.07779759473805223
268,421,0.09466800127090838
268,445,0.06768985484923104
268,504,0.07768113710847385
369,2,0.08488819801305045
369,66,0.09400696505594267
369,85,0.08295302086910603
369,187,0.07314126489222715
369,222,0.0833973071312923
369,299,0.08627835976475663
369,305,0.08453292173914566
369,332,0.08443327806988266
369,367,0.07815985653953922
369,370,0.08385415030412313
369,381,0.06819285602386536
369,406,0.08478480137112152
369,481,0.09400389536848332
369,521,0.09518173828890898
60,81,0.07363949022574166
60,204,0.078552446713487
60,207,0.0728347680182744
60,227,0.07573931461851863
60,279,0.08070555055891485
60,339,0.0753723373745132
60,359,0.0790872832512044
60,395,0.07789824379079353
60,485,0.07360091062834062
60,499,0.07637848978806193
296,1,0.01132255895891199
296,20,0.08532105038015592
296,24,0.07946719181742534
296,62,0.08998684455731573
296,136,0.0616450891518461
296,156,0.06843567315580655
296,179,0.07563254259996588
296,202,0.07535687483005085
296,204,0.09037356839401896
296,226,0.05908705844404135
296,274,0.0792092292346845
296,308,0.07858277682426677
296,356,0.06675610982366016
296,365,0.06396470993138842
296,370,0.07563842100740853
296,426,0.07966333973911391
296,462,0.07715504798683226
296,530,0.058232138344818773
498,6,0.10220064047609582
498,79,0.10296927456858837
498,98,0.09284732002743859
498,132,0.105883062142108
498,139,0.10139300373485767
498,151,0.101564285692747
498,259,0.10477529408427556
498,321,0.12161505030154404
498,374,0.1043026468607519
498,387,0.10824265260751356
498,410,0.1026942656391733
498,507,0.08950240737197535
527,12,0.09347710841324545
527,27,0.0713380092389704
527,31,0.10322511530758392
527,89,0.0909481733403101
527,151,0.08731224929276737
527,187,0.07643884147245679
527,193,0.08931091878463629
527,222,0.09045638971565013
527,260,0.08825065685148625
527,264,0.07255935516566306
527,286,0.07979453029785834
527,299,0.09423351297925775
527,305,0.08696788586786382
527,338,0.08232366008706668
527,342,0.0854120652897251
527,377,0.08424551170717645
527,496,0.07842908013140382
527,522,0.09351147563814685
124,3,0.0988459083943619
124,5,0.06875692088145978
124,38,0.08739475302622071
124,73,0.10032096565748864
124,81,0.09684858394108518
124,125,0.09464505995046638
124,130,0.08143036409620551
124,137,0.10073818229680516
124,140,0.10038741437886829
124,145,0.07822014416798798
124,146,0.0868916862105804
124,154,0.0871758836603639
124,179,0.10736006412324878
124,184,0.10049736502425911
124,196,0.10134645922143641
124,208,0.08256745581048264
124,216,0.08974301823098756
124,233,0.08688108003725817
124,248,0.08317147079608926
124,249,0.09914085823948827
124,258,0.07446272516858875
124,263,0.09512905622593563
124,269,0.0887125681383335
124,283,0.10106556580774534
124,284,0.07968828861898755
124,287,0.08877490839426098
124,302,0.09270905234631582
124,314,0.054515075418496255
124,329,0.09589900813154575
124,339,0.1043300764277131
124,341,0.09172645920495806
124,344,0.0926812379255183
124,352,0.0856329675847802
124,355,0.08218948547458466
124,375,0.07834179871814931
124,376,0.07227064507945072
124,379,0.09249857513181663
124,391,0.08869793234982114
124,396,0.10619850502437338
124,397,0.0935444414984124
124,412,0.07530021822428555
124,417,0.08706063101106279
124,418,0.09417699740724653
124,427,0.09955519499181345
124,432,0.08058699480145756
124,455,0.07649346776368234
124,477,0.08355745510464833
124,485,0.07700772353804929
124,486,0.09097145602911967
124,495,0.0877092023884297
124,503,0.09646654757152076
124,515,0.0883755195209729
124,518,0.08939624884463557
124,524,0.09297569908619999
226,20,0.05945537225961846
226,33,0.054576074024378966
226,202,0.05505599902296602
226,204,0.0572722568091238
226,206,0.05490969491727807
226,279,0.05558056790574492
226,296,0.05908705844404135
226,335,0.05727591302169136
226,360,0.0551201836268087
226,365,0.05535990926298537
302,3,0.10357173149443852
302,32,0.0897903406851508
302,37,0.08027297088959989
302,47,0.08417104491498667
302,62,0.0774821669429772
302,124,0.09270905234631582
302,140,0.09345308517674963
302,145,0.07467704064448959
302,150,0.09289379562295386
302,196,0.08432024085679021
302,287,0.09124970251355129
302,339,0.10135922194831597
302,341,0.09810442508946811
302,365,0.060199780918098
302,383,0.0811716572504235
302,396,0.08729739401215186
302,412,0.07370915611829897
302,418,0.08751750414449933
302,427,0.09189323891795201
302,432,0.08582649971833083
302,447,0.08635192066913737
302,503,0.09464492520004741
302,518,0.0904339575636675
345,10,0.09902748489061372
345,26,0.10351903456216771
345,54,0.07637086383600455
345,137,0.10535922686786202
345,249,0.10154185724710693
345,291,0.09621779281185674
345,294,0.0814605608235748
345,326,0.09386960719544471
345,334,0.09169327661126263
345,344,0.09197179437589363
345,354,0.09964036545557242
345,361,0.07645476762364957
345,404,0.09879391805789033
345,413,0.09874614227658883
345,492,0.10918764224835154
88,75,0.09768327172866285
88,94,0.10113680427104182
88,95,0.10032384056539347
88,181,0.10072673941425288
88,242,0.12655531962333552
88,315,0.09795878083809156
88,350,0.11811644283365004
88,389,0.10224464833025425
88,434,0.09600121267917233
88,509,0.11641259511751204
201,11,0.13309132170756466
201,16,0.11087900329788597
201,48,0.13994339965926994
201,51,0.11161233490916024
201,75,0.1467631157839755
201,108,0.16142403962745736
201,112,0.17824603766022137
201,126,0.15499977701342688
201,148,0.10829628924240403
201,164,0.08017418096912993
201,165,0.14416632337237983
201,182,0.14158058177963098
201,209,0.1133314277233578
201,221,0.13150820709240998
201,251,0.11603453444248425
201,256,0.0770708299023604
201,272,0.12779102626808536
201,312,0.13332290493036117
201,313,0.09152769545603127
201,348,0.10959732004518827
201,368,0.09422021344593241
201,371,0.14216250658229893
201,372,0.14035891121470515
201,389,0.14466309956022025
201,399,0.0947570038370102
201,414,0.16646680432316
201,443,0.10905269868631347
201,471,0.09561534445348355
201,483,0.1406651801710198
201,490,0.14282046001053988
304,8,0.13973077762368938
304,59,0.1459114466628915
304,110,0.14625365840997634
304,112,0.14926302723566537
304,169,0.08913741453881492
304,229,0.1224326956478006
304,244,0.1486429006489991
304,247,0.11662865028255542
304,280,0.16654264174788896
304,315,0.15259230906113128
304,385,0.1327431915471569
304,394,0.1554772568058145
304,420,0.15011170742759153
304,428,0.1518707116225194
304,443,0.10935788176557266
304,461,0.15682065079756952
304,479,0.1421167270403622
304,526,0.1439240962325296
324,20,0.05773303581797066
324,58,0.057708582862244895
324,73,0.0563585318478764
324,114,0.056788597059612464
324,154,0.06103091600724919
324,163,0.05813338054198339
324,220,0.0606574192274737
324,416,0.06870255066035713
324,445,0.061891865102293726
324,455,0.0592132727380947
32,15,0.08413032774987303
32,47,0.0877147769677604
32,49,0.0833411800791118
32,90,0.08965771682607393
32,174,0.10651548615310807
32,222,0.091071945881223
