node,cluster
1,1
2,2
3,3
4,2
5,3
6,4
7,4
8,5
9,6
10,7
11,8
12,6
13,3
14,4
15,2
16,9
17,5
18,10
19,5
20,1
21,8
22,5
23,7
24,3
25,11
26,7
27,6
28,5
29,1
30,11
31,2
32,1
33,10
34,5
35,7
36,3
37,11
38,1
39,11
40,7
41,3
42,5
43,1
44,5
45,4
46,3
47,3
48,8
49,1
50,5
51,8
52,10
53,9
54,11
55,5
56,5
57,2
58,3
59,5
60,3
61,5
62,10
63,3
64,9
65,9
66,2
67,4
68,11
69,5
70,9
71,2
72,3
73,3
74,7
75,8
76,7
77,1
78,8
79,4
80,4
81,3
82,7
83,5
84,3
85,2
86,11
87,5
88,8
89,6
90,11
91,8
92,5
93,2
94,4
95,8
96,8
97,7
98,4
99,5
100,3
101,3
102,8
103,7
104,8
105,1
106,9
107,2
108,8
109,3
110,8
111,8
112,8
113,4
114,10
115,3
116,2
117,4
118,10
119,8
120,8
121,5
122,11
123,5
124,11
125,3
126,8
127,9
128,6
129,11
130,1
131,7
132,4
133,5
134,2
135,7
136,1
137,7
138,3
139,9
140,3
141,5
142,4
143,11
144,9
145,3
146,3
147,2
148,8
149,5
150,4
151,4
152,9
153,2
154,11
155,3
156,10
157,2
158,5
159,8
160,5
161,7
162,5
163,11
164,9
165,7
166,2
167,4
168,5
169,7
170,10
171,2
172,7
173,9
174,2
175,3
176,2
177,10
178,9
179,1
180,10
181,4
182,8
183,4
184,11
185,10
186,2
187,2
188,6
189,3
190,4
191,6
192,4
193,2
194,1
195,7
196,11
197,5
198,4
199,9
200,5
201,8
202,3
203,9
204,1
205,9
206,1
207,10
208,11
209,7
210,11
211,5
212,8
213,4
214,4
215,4
216,3
217,2
218,4
219,10
220,11
221,8
222,2
223,2
224,7
225,4
226,1
227,10
228,4
229,8
230,10
231,4
232,6
233,1
234,5
235,2
236,1
237,3
238,3
239,1
240,5
241,5
242,4
243,1
244,5
245,5
246,3
247,8
248,3
249,11
250,3
251,9
252,3
253,2
254,4
255,7
256,6
257,1
258,1
259,4
260,2
261,8
262,11
263,11
264,6
265,8
266,6
267,2
268,11
269,2
270,7
271,2
272,8
273,4
274,1
275,11
276,8
277,5
278,5
279,10
280,8
281,4
282,2
283,3
284,1
285,2
286,2
287,11
288,5
289,7
290,2
291,7
292,8
293,11
294,2
295,7
296,1
297,8
298,5
299,2
300,4
301,5
302,11
303,9
304,8
305,2
306,2
307,4
308,1
309,2
310,4
311,2
312,9
313,4
314,11
315,9
316,5
317,5
318,4
319,5
320,4
321,4
322,3
323,3
324,1
325,5
326,9
327,2
328,5
329,11
330,5
331,7
332,2
333,3
334,7
335,3
336,5
337,8
338,2
339,3
340,4
341,11
342,2
343,11
344,7
345,7
346,4
347,2
348,9
349,4
350,8
351,6
352,11
353,3
354,7
355,11
356,3
357,2
358,11
359,2
360,3
361,7
362,4
363,3
364,4
365,10
366,5
367,2
368,9
369,2
370,2
371,8
372,8
373,5
374,4
375,3
376,3
377,2
378,2
379,1
380,8
381,2
382,5
383,1
384,8
385,5
386,10
387,4
388,5
389,8
390,5
391,11
392,5
393,6
394,8
395,2
396,3
397,3
398,5
399,9
400,2
401,9
402,7
403,9
404,7
405,9
406,2
407,5
408,3
409,7
410,4
411,2
412,3
413,4
414,8
415,7
416,3
417,11
418,11
419,3
420,5
421,2
422,3
423,3
424,3
425,8
426,10
427,11
428,5
429,6
430,7
431,4
432,11
433,3
434,4
435,11
436,1
437,5
438,4
439,8
440,2
441,2
442,4
443,8
444,11
445,11
446,8
447,9
448,11
449,4
450,5
451,6
452,4
453,4
454,7
455,1
456,5
457,11
458,3
459,2
460,2
461,5
462,1
463,4
464,2
465,11
466,10
467,3
468,10
469,6
470,7
471,8
472,4
473,5
474,7
475,2
476,7
477,1
478,5
479,5
480,3
481,2
482,2
483,8
484,8
485,3
486,3
487,4
488,4
489,5
490,8
491,4
492,7
493,6
494,2
495,11
496,4
497,4
498,4
499,10
500,6
501,8
502,6
503,3
504,4
505,7
506,6
507,4
508,10
509,9
510,4
511,8
512,2
513,3
514,2
515,11
516,3
517,2
518,11
519,7
520,2
521,2
522,4
523,7
524,10
525,6
526,5
527,2
528,1
529,5
530,1
531,5
532,1
