node,cluster
1,1
2,2
3,3
4,2
5,2
6,4
7,4
8,5
9,2
10,4
11,6
12,2
13,3
14,7
15,8
16,9
17,5
18,8
19,10
20,1
21,6
22,5
23,11
24,1
25,3
26,4
27,2
28,10
29,2
30,3
31,2
32,8
33,8
34,10
35,11
36,1
37,3
38,8
39,3
40,1
41,2
42,5
43,2
44,10
45,9
46,1
47,2
48,10
49,2
50,5
51,11
52,8
53,6
54,3
55,10
56,5
57,8
58,1
59,10
60,1
61,10
62,1
63,1
64,6
65,4
66,2
67,7
68,3
69,6
70,9
71,1
72,3
73,8
74,8
75,10
76,11
77,1
78,6
79,4
80,9
81,1
82,1
83,10
84,1
85,2
86,8
87,5
88,6
89,2
90,8
91,10
92,5
93,8
94,7
95,6
96,10
97,8
98,6
99,5
100,3
101,1
102,10
103,1
104,6
105,2
106,9
107,2
108,10
109,3
110,10
111,5
112,10
113,7
114,3
115,2
116,2
117,4
118,1
119,10
120,5
121,5
122,3
123,5
124,8
125,2
126,4
127,9
128,2
129,3
130,8
131,1
132,4
133,10
134,2
135,11
136,1
137,11
138,2
139,9
140,3
141,6
142,4
143,3
144,1
145,2
146,3
147,8
148,10
149,5
150,8
151,4
152,9
153,2
154,3
155,1
156,1
157,2
158,5
159,6
160,10
161,4
162,5
163,3
164,1
165,4
166,2
167,7
168,5
169,1
170,1
171,8
172,3
173,9
174,8
175,2
176,2
177,8
178,6
179,8
180,1
181,7
182,10
183,7
184,3
185,8
186,2
187,2
188,2
189,1
190,7
191,2
192,7
193,4
194,8
195,11
196,3
197,10
198,4
199,9
200,10
201,4
202,2
203,6
204,1
205,4
206,1
207,1
208,3
209,10
210,3
211,5
212,10
213,4
214,7
215,7
216,1
217,4
218,7
219,1
220,3
221,10
222,2
223,2
224,1
225,4
226,1
227,1
228,7
229,6
230,8
231,4
232,2
233,8
234,5
235,2
236,8
237,1
238,2
239,8
240,10
241,10
242,6
243,1
244,10
245,5
246,1
247,6
248,1
249,3
250,1
251,6
252,3
253,8
254,8
255,11
256,2
257,2
258,1
259,9
260,8
261,6
262,3
263,3
264,2
265,6
266,2
267,2
268,2
269,8
270,11
271,2
272,6
273,7
274,3
275,3
276,5
277,10
278,10
279,1
280,10
281,2
282,2
283,3
284,1
285,2
286,2
287,3
288,5
289,1
290,8
291,11
292,6
293,2
294,8
295,2
296,1
297,6
298,6
299,2
300,4
301,10
302,3
303,9
304,6
305,2
306,8
307,4
308,1
309,2
310,4
311,8
312,10
313,6
314,3
315,4
316,5
317,10
318,9
319,10
320,2
321,4
322,2
323,1
324,3
325,11
326,9
327,2
328,6
329,3
330,10
331,1
332,8
333,3
334,3
335,1
336,10
337,10
338,2
339,3
340,7
341,3
342,4
343,2
344,11
345,11
346,4
347,2
348,6
349,4
350,6
351,2
352,3
353,2
354,9
355,8
356,1
357,2
358,8
359,8
360,1
361,1
362,7
363,2
364,7
365,1
366,5
367,2
368,6
369,2
370,8
371,6
372,10
373,5
374,4
375,3
376,8
377,2
378,8
379,8
380,10
381,8
382,5
383,3
384,10
385,5
386,4
387,4
388,5
389,6
390,5
391,3
392,10
393,2
394,6
395,1
396,1
397,2
398,10
399,11
400,2
401,9
402,11
403,9
404,11
405,6
406,2
407,10
408,3
409,1
410,4
411,2
412,1
413,4
414,10
415,2
416,3
417,3
418,3
419,3
420,10
421,2
422,3
423,8
424,2
425,10
426,1
427,8
428,5
429,2
430,10
431,7
432,3
433,2
434,7
435,2
436,1
437,10
438,7
439,10
440,8
441,8
442,4
443,6
444,2
445,3
446,6
447,3
448,3
449,6
450,10
451,8
452,7
453,7
454,11
455,1
456,10
457,3
458,1
459,8
460,2
461,5
462,8
463,7
464,8
465,3
466,2
467,1
468,1
469,2
470,11
471,11
472,7
473,10
474,11
475,2
476,1
477,4
478,5
479,5
480,8
481,2
482,3
483,10
484,5
485,1
486,2
487,9
488,7
489,5
490,6
491,7
492,10
493,2
494,2
495,3
496,2
497,4
498,4
499,8
500,2
501,10
502,2
503,3
504,4
505,10
506,2
507,4
508,8
509,6
510,6
511,10
512,8
513,1
514,8
515,3
516,2
517,8
518,3
519,1
520,2
521,2
522,2
523,1
524,4
525,2
526,10
527,2
528,1
529,5
530,1
531,5
532,1
