node,UMAP1,UMAP2
1,-64.003888,136.038990
2,-73.731894,-79.066641
3,-164.554640,-97.015218
4,-162.058469,172.708979
5,-97.042976,10.437034
6,204.838944,-103.765321
7,182.638399,-128.868113
8,388.732545,65.873417
9,-213.090546,158.344733
10,409.215527,21.059439
11,223.292900,55.242461
12,-223.198276,14.848409
13,-118.226473,124.696612
14,164.165056,-199.869407
15,-251.665036,48.277826
16,243.601111,26.363290
17,297.238556,62.151101
18,-258.744998,116.534013
19,345.796676,15.916458
20,-56.722680,41.652386
21,321.438276,15.106194
22,233.255804,105.590963
23,23.940578,114.980661
24,-148.897835,10.583455
25,-181.588264,-83.307261
26,237.028893,-41.565444
27,-297.317822,-132.004631
28,381.508877,5.431862
29,-197.128431,15.088471
30,-227.963427,-9.579771
31,-283.635166,-113.025009
32,-327.103524,-36.151091
33,-245.210924,94.446146
34,359.422723,14.785709
35,-28.289976,69.235920
36,-236.575252,-205.611756
37,-167.128323,128.994635
38,-313.889164,52.491271
39,-152.916386,-50.666353
40,0.126406,143.699513
41,-121.174604,64.035661
42,337.728634,55.142586
43,-125.133750,44.076607
44,346.775789,-20.846547
45,206.981512,-95.050797
46,-256.384874,104.448959
47,-193.236321,138.140124
48,307.987939,19.261842
49,-57.081993,65.133649
50,390.748663,38.091091
51,-198.044432,-185.401032
52,-98.532080,-21.815740
53,149.590348,101.644429
54,-266.238723,-60.441873
55,417.182708,-4.944495
56,297.234230,113.979883
57,-274.694300,-11.885563
58,-170.157999,209.458750
59,374.403569,-10.162804
60,-25.744890,20.762856
61,297.824849,-19.440170
62,-10.063231,-43.788369
63,-72.278980,78.314247
64,200.502336,75.060438
65,138.095058,36.081682
66,-305.612478,-6.713406
67,169.851550,-249.285924
68,-216.755610,49.343060
69,352.345330,-34.488934
70,226.648530,155.106064
71,-83.430145,-135.699127
72,-135.401827,135.551126
73,-238.023141,-71.992496
74,-31.436096,126.261793
75,272.467286,-4.212828
76,106.729533,69.661339
77,-55.122870,54.646360
78,259.012357,68.482953
79,171.115116,-158.365584
80,112.298590,-2.798036
81,-158.729175,-1.341017
82,13.544505,38.189726
83,358.191436,46.556269
84,-89.990417,4.768808
85,-188.991608,-150.104278
86,-327.984311,-83.896921
87,337.189140,6.812896
88,282.966747,-23.397580
