node,UMAP1,UMAP2
1,-1.368798,2.561151
2,-5.546297,1.569377
3,-2.239823,3.827564
4,-1.791984,2.064345
5,-2.238821,2.441156
6,5.874964,-0.667447
7,6.313532,0.919277
8,4.663690,-7.146088
9,-6.137513,1.555909
10,5.393758,-6.677941
11,5.282342,-4.203301
12,-5.017831,1.385108
13,-2.574628,3.082544
14,6.496782,2.894391
15,-1.077846,1.703907
16,5.116070,-5.020312
17,5.589204,-6.032721
18,-1.949658,4.475821
19,4.932436,-6.380918
20,-2.063817,1.032159
21,5.770343,-5.762842
22,4.405114,-4.780878
23,-3.957461,-0.835148
24,-0.936248,2.484324
25,-4.633779,4.362550
26,6.667156,-5.474983
27,-6.199452,2.846929
28,5.085260,-6.811530
29,-4.311320,2.381417
30,-4.334017,3.314172
31,-5.915118,2.848773
32,-5.089576,4.432922
33,-2.465727,4.680012
34,4.940944,-6.167995
35,-3.568187,0.628761
36,-0.692418,1.912712
37,-2.988296,3.624782
38,-4.807888,3.128413
39,-3.508078,3.874673
40,-3.941770,-1.275099
41,-3.038543,2.224084
42,4.537306,-6.464378
43,-2.777228,1.910883
44,4.352981,-6.273559
45,5.401404,-1.787261
46,-2.130292,4.343275
47,-1.946473,2.287719
48,5.589939,-6.343769
49,-2.720959,1.169265
50,4.212223,-6.965342
51,-4.204718,-0.002624
52,-3.278427,0.404963
53,4.093839,-3.602527
54,-5.454152,2.749020
55,-7.997399,6.003467
56,3.806955,-5.219883
57,-5.114019,2.098809
58,-5.281742,0.004209
59,6.089113,-6.549228
60,-2.792703,0.055629
61,6.242288,-5.649298
62,-1.579688,1.636414
63,-1.619699,3.298162
64,5.279675,-3.526725
65,6.510623,-4.636336
66,-4.647155,3.134009
67,6.034803,3.291656
68,-3.494226,2.883090
69,4.144088,-6.221505
70,5.797050,-2.943104
71,-5.953649,0.262207
72,-2.572870,3.620664
73,-5.306508,3.355546
74,-0.898654,3.097930
75,5.970542,-5.257230
76,-4.668758,-0.847196
77,-2.400098,1.132898
78,4.611324,-4.362737
79,6.427025,2.195695
80,4.560048,-1.850739
81,-2.696739,3.329913
82,-3.556403,-0.516286
83,5.499614,-6.882540
84,-1.921596,2.390946
85,-5.087337,1.695889
86,-5.480068,4.211313
87,4.721539,-6.107465
88,6.211410,-5.008784
89,-5.556167,2.885865
90,-5.315429,4.549148
91,5.810481,-5.588598
92,5.246587,-7.584164
93,-4.375253,2.847268
94,5.896850,2.708703
95,4.601904,-4.104367
96,5.848568,-5.999498
97,-4.072842,1.163796
98,4.353163,-1.789038
99,5.836897,-6.836777
100,-2.008759,3.519986
101,-2.245048,2.078777
102,5.196911,-5.312403
103,-3.923149,0.519227
104,5.988796,-4.998757
105,-2.332292,1.430140
106,6.040821,-2.558178
107,-5.269814,2.563435
108,5.528219,-5.357666
109,-3.009016,2.927208
110,5.383906,-5.121513
111,5.235813,-5.805822
112,5.810966,-5.032893
113,5.772014,3.223104
114,-1.957441,3.148907
115,-2.902958,2.535476
116,-4.150708,1.936395
117,5.914191,0.957491
118,-3.223686,1.347494
119,5.537179,-5.677049
120,5.653512,-4.421761
121,5.855662,-7.398765
122,-5.799308,3.635415
123,5.077381,-7.212130
124,-3.647357,4.639304
125,-2.971474,2.100489
126,6.239866,-5.172664
127,7.007161,-5.444802
128,-3.902922,2.975094
129,-3.776096,2.783412
130,-0.612471,1.369039
131,-1.374198,0.557613
132,6.397921,0.410236
133,4.764396,-6.486793
134,-4.744512,2.656378
135,-5.284039,1.235206
136,-2.195842,0.465843
137,-3.960912,-0.247736
138,-4.208610,3.160565
