node,UMAP1,UMAP2
1,2.403361,-4.793073
2,1.162969,-2.767302
3,2.859033,-4.047756
4,1.389946,-3.809196
5,2.977485,-3.967645
6,-0.989898,3.131344
7,-0.788337,2.660755
8,-4.334684,4.777212
9,0.600901,-3.911573
10,-2.472031,3.061267
11,-2.541370,4.469283
12,0.653747,-2.277188
13,2.808952,-3.892608
14,0.346743,5.584287
15,1.592591,-3.728130
16,-1.949741,3.777605
17,-4.423064,5.095418
18,1.183926,-3.481544
19,-3.433909,4.064020
20,1.678444,-4.967666
21,-3.313652,4.244468
22,-4.204552,5.168846
23,-1.477143,1.845082
24,1.315741,-4.040082
25,2.899222,-2.913209
26,-1.604418,2.725036
27,0.284046,-2.783686
28,-3.876640,3.891265
29,1.705226,-3.329141
30,1.788461,-3.088516
31,1.015068,-1.744578
32,2.044762,-2.703967
33,2.131719,-4.247702
34,-3.872239,4.114514
35,-1.419502,1.589921
36,1.453658,-4.352145
37,3.436911,-3.607677
38,1.734772,-2.498125
39,2.923631,-3.251756
40,-1.943675,1.568006
41,2.342889,-3.596860
42,-3.827325,4.289846
43,1.799748,-4.091008
44,-3.853594,3.968153
45,-1.241465,3.128038
46,1.417643,-3.455808
47,2.543711,-3.847601
48,-3.554626,4.583094
49,2.558653,-3.398087
50,-4.513362,4.541731
51,-2.480672,3.221230
52,0.662608,-2.249940
53,-1.850159,3.816875
54,1.618121,-1.766445
55,-3.936910,3.973395
56,-4.309146,4.938399
57,1.305340,-3.094414
58,1.856532,-4.559663
59,-3.736919,4.112227
60,1.459778,-4.241035
61,-3.934924,4.376945
62,1.107425,-3.544041
63,3.037123,-4.821505
64,-1.287863,4.462749
65,-1.782534,3.036554
66,1.662703,-2.735576
67,0.770135,4.653720
68,2.792425,-3.633262
69,-4.462699,4.676246
70,-1.593012,4.609421
71,1.374203,-4.224117
72,3.222773,-3.987328
73,2.139443,-3.703450
74,-0.631627,0.357147
75,-2.688846,4.562855
76,-2.025758,2.390219
77,1.774641,-4.269323
78,-3.418658,5.057163
79,-0.443214,3.235486
80,-0.768673,3.102444
81,2.511760,-4.062717
82,-1.413543,1.050178
83,-3.088293,4.340797
84,2.341725,-4.361538
85,0.968211,-2.692966
86,1.993732,-2.261510
87,-3.847800,4.135954
88,-1.562190,5.498004
89,1.017542,-2.354373
90,2.150981,-2.764709
91,-3.011428,4.257260
92,-4.385974,5.269439
93,1.371226,-2.781302
94,0.298178,5.350855
95,-3.410546,5.259876
96,-2.919376,4.236026
97,0.709967,-0.988578
98,-0.640737,2.995739
99,-4.260364,4.620041
100,2.971140,-4.331738
101,1.971519,-3.745200
102,-3.604192,4.801948
103,-0.437014,0.154777
104,-3.305610,4.119119
105,1.723346,-4.305102
106,-1.541974,4.688450
107,1.810996,-1.979713
108,-2.589692,4.240923
109,2.832227,-3.693221
110,-3.361704,4.727648
111,-3.559329,4.801481
112,-2.808064,4.237649
113,1.032434,5.616020
114,2.434652,-4.549649
115,2.471920,-3.193365
116,1.681368,-3.558522
117,0.515384,0.150003
118,0.791997,-0.662396
119,-4.076201,4.266231
120,-3.279579,4.633953
121,-3.942320,4.746938
122,2.396135,-2.798928
123,-4.255420,4.719025
124,2.104265,-3.214718
125,2.159322,-3.646523
126,-2.405934,3.832844
127,-2.082172,3.486169
128,1.668967,-3.509061
129,2.645443,-2.712348
130,1.442941,-3.735131
131,-0.241439,-0.314993
132,-1.052711,2.950519
133,-3.995774,4.343941
134,1.688855,-2.850003
135,-1.731845,2.407666
136,1.877068,-5.165662
137,-0.501569,0.133698
138,2.671882,-3.804526
139,-1.462408,3.419638
140,2.540720,-3.526624
141,-3.850287,5.135323
142,0.545641,4.301922
143,2.815650,-2.932193
144,-1.694800,3.603716
145,3.082527,-4.284958
146,2.642524,-3.511724
147,1.566246,-3.190691
148,-2.218205,2.965376
149,-5.029317,5.221362
150,-0.179449,2.392405
151,-0.220069,2.094035
152,-1.560767,4.394900
153,1.092644,-3.291291
154,3.050013,-3.965128
155,2.034253,-3.922647
156,1.244346,-4.729552
157,2.037828,-2.655142
158,-4.050881,5.079622
159,-2.878929,4.932330
160,-3.923675,4.318480
161,-1.819866,2.654697
162,-4.249298,4.366967
163,2.499774,-3.273748
164,-0.789981,2.010963
165,-2.003263,2.996303
166,0.902793,-1.925061
167,0.533327,5.913337
168,-4.676504,5.170968
169,-3.392554,3.259366
170,1.760806,-4.615821
171,1.871208,-3.085883
172,0.414384,-0.416376
173,-1.830222,3.330767
174,1.498032,-2.377291
175,2.502240,-3.906612
176,1.737410,-3.100889
177,0.764629,-0.305780
178,-0.409810,3.909323
179,1.836230,-3.703131
180,1.873558,-4.753774
181,0.075878,5.692784
182,-2.869713,4.040645
183,0.348421,1.238994
184,2.500530,-3.066781
185,1.373837,-4.111030
186,1.012084,-3.047743
187,0.843335,-2.301368
188,0.048285,-3.224394
189,1.710453,-4.192379
190,0.834482,5.432066
191,0.601890,-3.350058
192,0.743582,4.973513
193,0.875248,-0.195498
194,0.897597,-2.817358
195,-0.591012,0.732837
196,2.956721,-3.427999
197,-4.068443,4.466587
198,0.380248,4.345389
199,-1.485280,4.502426
200,-3.639733,3.782669
201,-2.456483,3.974298
202,1.376859,-4.436417
203,-1.741121,4.612931
204,1.700650,-4.722000
205,-1.353080,2.816513
206,2.113114,-4.071140
207,1.328902,-3.821135
208,2.662152,-2.627650
209,-2.821200,3.351328
210,2.835114,-3.121132
211,-5.060362,5.261961
212,-2.885965,4.624922
213,-0.434198,3.027969
214,0.447037,5.746538
215,0.592013,5.195963
216,1.814503,-3.791725
217,1.123139,-2.631553
218,0.628124,4.626345
219,1.158791,-3.189515
220,2.664128,-3.030495
221,-3.082444,4.883536
222,1.541048,-2.546682
223,1.308069,-3.099426
224,-1.072475,0.563713
225,0.570121,4.672809
226,2.565546,-5.595387
227,1.039063,-3.581620
228,0.188640,4.605706
229,-2.432811,4.551987
230,1.486681,-3.571184
231,-0.049978,1.587057
232,0.325583,-2.975901
233,2.120698,-2.687864
234,-3.868594,4.462508
235,1.319343,-3.187527
236,1.830200,-3.472991
237,1.875838,-5.001930
238,2.171365,-3.902534
239,2.810169,-2.860040
240,-3.536666,4.155855
241,-3.864057,4.910060
242,-0.919544,5.495625
243,1.650940,-5.556523
244,-2.963261,3.482347
245,-4.199379,4.810796
246,2.068501,-4.722193
247,-2.625996,4.656637
248,2.429742,-3.953316
249,1.405332,-1.639080
250,2.010041,-4.128120
251,-1.141492,4.611261
252,3.677541,-4.193118
253,1.230614,-3.547810
254,0.510050,1.557302
255,-3.019654,2.743219
256,0.208299,-2.320677
257,1.057586,-4.107860
258,2.030099,-3.539345
259,-0.549204,3.077434
260,1.336223,-2.191844
261,-3.098093,5.194515
262,3.827204,-4.084246
263,2.261931,-2.698007
264,0.205836,-2.899298
265,-3.159505,4.915845
266,0.630207,-3.163199
267,1.637309,-3.060704
268,0.832140,-1.869656
269,1.799111,-2.379467
270,-2.102790,1.928989
271,1.416247,-3.642124
272,-2.110533,3.567574
273,0.660387,5.818808
274,2.316436,-3.797850
275,1.921898,-1.754440
276,-3.957836,5.039894
277,-3.022956,3.814020
278,-3.215914,3.838564
279,1.680281,-4.231310
280,-2.753213,4.366171
281,0.188834,2.438544
282,1.112569,-2.980227
283,2.835469,-3.700131
284,1.530170,-3.527500
285,1.668852,-3.892952
286,1.306790,-2.312556
287,2.837867,-3.163592
288,-4.592859,5.041650
289,-0.531232,-0.051625
290,1.308460,-3.467999
291,0.157504,-0.135827
292,-2.881558,4.731895
293,0.542400,-3.477406
294,0.891310,-1.614902
295,-1.083466,1.934406
296,1.789424,-4.852661
297,-2.999409,3.690945
298,-2.263476,3.756959
299,1.147679,-2.479183
300,-0.245548,1.567184
301,-4.171371,4.101065
302,2.417904,-3.163859
303,-1.394893,4.489540
304,-3.179386,4.305028
305,1.379402,-3.016804
306,1.320118,-3.346444
307,-0.042010,2.092024
308,1.921599,-3.987010
309,2.421361,-3.488188
310,0.365243,3.767261
